event,sample
licks,14430.0
licks,14431.0
licks,14432.0
licks,14439.0
licks,14465.0
licks,14465.0
licks,14466.0
licks,14467.0
licks,14468.0
licks,14469.0
licks,14470.0
licks,14471.0
licks,14521.0
licks,14522.0
licks,14681.0
licks,14684.0
licks,14685.0
licks,14686.0
licks,14687.0
licks,14687.0
licks,14688.0
licks,14689.0
licks,14690.0
licks,14691.0
licks,14692.0
licks,14692.0
licks,14694.0
licks,14694.0
licks,14695.0
licks,14695.0
licks,14696.0
licks,14697.0
licks,14698.0
licks,14698.0
licks,14699.0
licks,14700.0
licks,14701.0
licks,14716.0
licks,14738.0
licks,14739.0
licks,14741.0
licks,14742.0
licks,14745.0
licks,15011.0
licks,15013.0
licks,15016.0
licks,15016.0
licks,15018.0
licks,15019.0
licks,15020.0
licks,15021.0
licks,15021.0
licks,15022.0
licks,15023.0
licks,15024.0
licks,15025.0
licks,15025.0
licks,15026.0
licks,15027.0
licks,15028.0
licks,15028.0
licks,15029.0
licks,15032.0
licks,15033.0
licks,15038.0
licks,15038.0
licks,15039.0
licks,15099.0
licks,15130.0
plus,471.0
plus,521.0
plus,751.0
plus,1104.0
plus,1262.0
plus,1329.0
plus,1414.0
plus,1491.0
plus,1589.0
plus,1644.0
plus,1817.0
plus,2085.0
plus,2351.0
plus,2616.0
plus,2982.0
plus,3157.0
plus,3400.0
plus,3627.0
plus,3723.0
plus,4304.0
plus,4439.0
plus,4525.0
plus,5268.0
plus,5781.0
plus,6235.0
plus,6318.0
plus,6642.0
plus,7378.0
plus,7802.0
plus,8730.0
plus,8928.0
plus,9081.0
plus,9154.0
plus,9884.0
plus,10180.0
plus,11252.0
plus,11360.0
plus,11566.0
plus,12047.0
plus,12118.0
plus,12530.0
plus,12989.0
plus,13462.0
plus,13542.0
plus,13766.0
plus,14208.0
plus,14309.0
plus,14411.0
plus,14678.0
plus,15008.0
minus,35.0
minus,308.0
minus,580.0
minus,644.0
minus,1035.0
minus,1879.0
minus,2538.0
minus,2816.0
minus,3674.0
minus,3773.0
minus,4252.0
minus,4888.0
minus,5017.0
minus,5155.0
minus,5391.0
minus,5723.0
minus,6009.0
minus,6434.0
minus,6891.0
minus,7028.0
minus,7482.0
minus,7716.0
minus,8139.0
minus,8338.0
minus,8512.0
minus,9345.0
minus,9426.0
minus,9964.0
minus,10326.0
minus,10449.0
minus,10671.0
minus,10772.0
minus,10850.0
minus,10918.0
minus,11138.0
minus,11776.0
minus,12001.0
minus,12232.0
minus,12280.0
minus,13100.0
minus,13322.0
minus,13884.0
minus,13936.0
minus,14050.0
minus,14153.0
minus,14521.0
minus,14593.0
minus,14913.0
minus,14961.0
minus,15128.0
